transportation_mode,commute_distance_km,flights_per_year,diet_type,meat_consumption_kg_per_month,electricity_usage_kwh,gas_usage_therms,water_usage_gallons,recycling_percentage,new_clothes_per_month,car_type,monthly_carbon_footprint_kg,household_size,vehicle_fuel_efficiency_km_per_l,renewable_energy_percentage,heating_fuel_type
public,1451.0,0,vegan,0.0,0.0,0.0,0.0,"['Paper', 'Plastic', 'Metal']",24.0,,1210.0,2,11.0,62,Electric
public,30.891503574458408,0,omnivore,18.704159382597688,162.6851122711263,0.6681811703122431,1464.4294428704068,8.785176761641722,1.4183034344238632,hybrid,1223.3429736133687,2,14.1,29,Electric
private,4465.0,0,omnivore,0.0,0.0,0.0,0.0,['Metal'],20.0,lpg,3068.0,3,9.8,67,
private,9413.0,0,vegan,0.0,0.0,0.0,0.0,"['Plastic', 'Glass']",10.0,electric,1045.0,2,17.4,67,
private,260.0,0,vegan,0.0,0.0,0.0,0.0,"['Paper', 'Plastic', 'Glass', 'Metal']",10.0,electric,881.0,1,24.6,60,
private,2880.0,0,vegan,0.0,0.0,0.0,0.0,"['Paper', 'Plastic', 'Glass']",9.0,lpg,1923.0,2,11.0,46,
public,983.0,0,vegetarian,0.0,0.0,0.0,0.0,['Plastic'],21.0,,2781.0,2,11.5,56,Electric
walk/bicycle,18.0,0,vegetarian,0.0,0.0,0.0,0.0,"['Paper', 'Glass', 'Metal']",47.0,,2751.0,3,12.0,49,Electric
private,5776.0,0,vegetarian,0.0,0.0,0.0,0.0,"['Paper', 'Plastic', 'Glass', 'Metal']",28.0,electric,967.0,2,19.6,56,
private,396.0,0,omnivore,0.0,0.0,0.0,0.0,['Glass'],17.0,lpg,2044.0,2,12.6,74,
private,3913.0,0,vegetarian,0.0,0.0,0.0,0.0,"['Paper', 'Glass']",41.0,electric,3229.0,3,21.6,53,
public,1176.0,0,pescatarian,0.0,0.0,0.0,0.0,"['Paper', 'Plastic', 'Glass']",12.0,,2256.0,2,11.1,60,Electric
private,9814.0,0,pescatarian,0.0,0.0,0.0,0.0,"['Plastic', 'Glass', 'Metal']",43.0,electric,1393.0,3,17.9,64,
walk/bicycle,30.0,0,vegetarian,0.0,0.0,0.0,0.0,"['Glass', 'Metal']",8.0,,1148.0,1,12.8,48,Electric
public,22.627471415541166,1,vegetarian,5.721517114362462,384.51071469387625,195.08934443804358,4614.556423770921,23.7590553426434,4.508132542638355,diesel,3084.4427770149946,4,12.5,24,Gas
walk/bicycle,10.667193396030395,1,omnivore,12.438415930648542,991.8430791661964,5.784267697341416,1094.7044625562303,94.84732734146338,5.922845900999923,none,1724.599530182111,3,10.9,89,Electric
public,1.0885960788147853,2,vegetarian,16.61079421421363,378.9319626722786,14.850395394373606,879.4975437194092,66.21075750564032,3.6474648467687665,diesel,806.9457328338024,2,14.0,76,Electric
walk/bicycle,22.0,0,vegan,0.0,0.0,0.0,0.0,"['Paper', 'Plastic']",4.0,,1681.0,2,12.6,58,Electric
walk/bicycle,37.0,0,pescatarian,0.0,0.0,0.0,0.0,"['Paper', 'Plastic', 'Metal']",6.0,,1778.0,2,11.0,64,Electric
private,14.808836225347772,3,vegetarian,8.708932113210249,640.7132730490421,104.10130092199674,1734.8514971962873,10.580255592368804,8.248770884391416,none,1877.8162301876619,3,10.4,16,Gas
public,1894.0,0,vegan,0.0,0.0,0.0,0.0,"['Paper', 'Plastic']",3.0,,1330.0,2,11.9,64,Electric
walk/bicycle,29.600252408796567,1,omnivore,19.508421146662094,367.21134031087763,162.14179380116943,2626.9602878260653,89.8203592862623,4.065319921907746,none,2695.440573593541,4,10.4,82,Gas
walk/bicycle,43.92849317003726,2,omnivore,1.544881988735738,541.6342271368195,161.85541157432587,1537.0887363920424,59.45123455416264,8.1681601583504,petrol,2033.589840775694,4,9.1,69,Gas
private,1101.0,0,pescatarian,0.0,0.0,0.0,0.0,"['Paper', 'Glass', 'Metal']",46.0,electric,1929.0,3,23.2,59,
private,37.82139106158287,4,omnivore,17.014174565408354,352.87428752129904,168.61892081884423,3514.744707602135,29.64956584196149,8.483127323478355,diesel,3194.4678005695423,5,10.4,28,Gas
walk/bicycle,20.0,0,vegetarian,0.0,0.0,0.0,0.0,['Paper'],28.0,,1238.0,2,10.5,75,Electric
public,156.0,0,vegetarian,0.0,0.0,0.0,0.0,"['Plastic', 'Metal']",1.0,,1418.0,1,11.5,64,Electric
public,542.0,0,vegan,0.0,0.0,0.0,0.0,"['Paper', 'Glass']",47.0,,2672.0,3,11.9,58,Electric
private,3443.0,0,vegan,0.0,0.0,0.0,0.0,['Glass'],46.0,lpg,3041.0,3,10.3,54,
walk/bicycle,92.0,0,pescatarian,0.0,0.0,0.0,0.0,"['Plastic', 'Glass']",7.0,,1342.0,2,12.0,61,Electric
public,1286.0,0,omnivore,0.0,0.0,0.0,0.0,"['Glass', 'Metal']",38.0,,1458.0,2,11.0,69,Electric
walk/bicycle,61.0,0,pescatarian,0.0,0.0,0.0,0.0,"['Paper', 'Plastic', 'Glass']",11.0,,2423.0,2,11.9,59,Electric
public,1050.0,0,vegan,0.0,0.0,0.0,0.0,['Plastic'],18.0,,1657.0,2,11.5,51,Electric
public,0.6152901658794063,3,vegetarian,9.344152399332238,302.9260001193761,1.712128129563184,583.8931928512284,38.78508560888739,2.173955704539355,diesel,582.223171939102,1,14.5,28,Electric
private,31.717186760240217,2,vegetarian,4.004789929818098,925.8006076681187,116.80842755938818,1222.397731992533,65.24089039406161,2.1406904074521496,none,1961.1199506865612,3,9.6,65,Gas
private,7961.0,0,pescatarian,0.0,0.0,0.0,0.0,"['Plastic', 'Glass']",36.0,electric,2644.0,3,18.2,58,
public,7.104646605405174,0,omnivore,11.53644167668222,363.44348025729516,68.1712301632146,1130.2971727947531,97.23152003600694,9.898651676879739,none,1474.5505611117521,3,12.0,100,Electric
public,643.0,0,pescatarian,0.0,0.0,0.0,0.0,"['Paper', 'Plastic', 'Glass', 'Metal']",8.0,,1130.0,2,11.2,60,Electric
walk/bicycle,26.387743787037998,1,omnivore,4.943132587754089,258.9217646057093,141.85329096966578,3346.1173891822827,79.95532715468075,2.9362941487015415,petrol,2338.648520674889,3,9.5,73,Gas
public,0.8656354036812863,2,vegetarian,14.907476408935219,226.81999700500273,164.8608315544146,2788.687945413052,56.79716265142309,6.000274289301811,none,2143.3685149350686,3,11.6,52,Gas
public,15.905265803382369,0,omnivore,12.399406263372128,893.5957011407238,180.92549247834785,2920.8693606232723,83.8210806600231,4.98766112607124,electric,3190.376459750586,4,20.4,62,Gas
public,488.0,0,pescatarian,0.0,0.0,0.0,0.0,"['Paper', 'Glass', 'Metal']",10.0,,1656.0,2,11.5,68,Electric
walk/bicycle,25.0,0,vegan,0.0,0.0,0.0,0.0,"['Plastic', 'Glass', 'Metal']",16.0,,1301.0,2,12.1,57,Electric
walk/bicycle,10.0,0,vegetarian,0.0,0.0,0.0,0.0,"['Paper', 'Plastic', 'Glass']",0.0,,412.0,1,11.6,66,Electric
public,1806.0,0,omnivore,0.0,0.0,0.0,0.0,"['Plastic', 'Metal']",23.0,,1782.0,2,11.8,56,Electric
walk/bicycle,42.0,0,omnivore,0.0,0.0,0.0,0.0,"['Plastic', 'Glass', 'Metal']",0.0,,993.0,1,12.2,73,Electric
private,5033.0,0,vegan,0.0,0.0,0.0,0.0,"['Paper', 'Plastic', 'Metal']",43.0,diesel,2665.0,3,12.3,46,
walk/bicycle,64.0,0,vegan,0.0,0.0,0.0,0.0,"['Plastic', 'Metal']",2.0,,2639.0,2,12.2,63,Electric
walk/bicycle,7.0,0,vegan,0.0,0.0,0.0,0.0,"['Paper', 'Plastic']",32.0,,1277.0,2,12.2,50,Electric
public,10.481954563021873,4,omnivore,16.798696950726136,796.433467512934,137.4285500907908,2603.599662710726,76.84451490754266,6.361544257566527,diesel,2969.6324626601586,4,14.0,60,Gas
private,7953.0,0,omnivore,0.0,0.0,0.0,0.0,['Glass'],21.0,petrol,4357.0,4,8.9,52,
private,9206.0,0,vegetarian,0.0,0.0,0.0,0.0,"['Plastic', 'Glass', 'Metal']",18.0,electric,626.0,2,19.5,71,
private,13.784557793460367,2,omnivore,8.477411548429899,667.6808375097967,9.572430658406672,2472.8859681029007,72.66667648532442,8.041493956777815,petrol,1916.173193282227,3,11.2,65,Gas
walk/bicycle,33.0,0,vegan,0.0,0.0,0.0,0.0,['Plastic'],7.0,,1639.0,2,11.7,49,Electric
public,20.317127608173983,1,omnivore,18.179139772553764,370.58428269389236,111.37135366556343,777.4315381169732,40.269218531311815,6.623600590204328,none,1785.4550674099378,3,11.4,59,Electric
walk/bicycle,46.0,0,omnivore,0.0,0.0,0.0,0.0,"['Paper', 'Plastic', 'Glass']",2.0,,569.0,1,12.6,52,Electric
walk/bicycle,71.0,0,pescatarian,0.0,0.0,0.0,0.0,"['Paper', 'Glass']",0.0,,1712.0,2,11.1,67,Electric
walk/bicycle,55.0,0,vegetarian,0.0,0.0,0.0,0.0,"['Paper', 'Plastic']",47.0,,2056.0,3,12.6,37,Electric
public,1082.0,0,omnivore,0.0,0.0,0.0,0.0,"['Paper', 'Plastic', 'Glass']",20.0,,1654.0,2,12.4,62,Electric
private,1507.0,0,pescatarian,0.0,0.0,0.0,0.0,"['Paper', 'Glass']",49.0,hybrid,2554.0,3,16.0,62,
public,24.069562536095223,3,vegetarian,16.82141821153922,236.05396318518532,141.6961427259455,2541.787576897379,64.25408682368669,3.035461812238295,diesel,1971.7547620757573,3,12.8,53,Gas
walk/bicycle,34.0,0,vegan,0.0,0.0,0.0,0.0,['Glass'],29.0,,1266.0,2,10.9,77,Electric
walk/bicycle,33.25644105652449,2,omnivore,15.452234188828866,238.47946813913978,182.91576894505246,4950.392017976338,83.58034294610502,6.500845978796287,hybrid,3426.6682044410327,5,14.7,59,Gas
public,20.172432446521192,2,omnivore,13.82860363296924,767.5681539153557,197.6632293590357,504.7399391570024,30.11427343540969,6.2772619314371045,hybrid,2417.070981172382,4,14.8,28,Gas
public,40.481219841042055,3,omnivore,4.659836448068231,731.8188817567517,36.694481373942445,2969.8988114819267,47.50366698040168,4.500492626833044,petrol,2175.3895557406963,4,9.5,53,Electric
public,31.94333595494325,2,vegetarian,15.189404928958222,531.6483188878703,129.00285260773387,2348.2253722909104,40.03520123940062,6.176789466535361,petrol,2117.6685908018817,4,10.3,43,Gas
public,190.0,0,omnivore,0.0,0.0,0.0,0.0,"['Paper', 'Plastic', 'Glass', 'Metal']",36.0,,2915.0,3,12.3,58,Electric
public,1553.0,0,omnivore,0.0,0.0,0.0,0.0,"['Paper', 'Plastic', 'Glass']",22.0,,1313.0,2,11.8,65,Electric
public,955.0,0,omnivore,0.0,0.0,0.0,0.0,"['Plastic', 'Glass']",29.0,,2761.0,3,12.4,74,Electric
private,710.0,0,pescatarian,0.0,0.0,0.0,0.0,"['Plastic', 'Glass', 'Metal']",43.0,petrol,3221.0,3,12.6,51,
public,457.0,0,omnivore,0.0,0.0,0.0,0.0,"['Paper', 'Plastic', 'Glass', 'Metal']",34.0,,2021.0,2,12.3,55,Electric
walk/bicycle,67.0,0,pescatarian,0.0,0.0,0.0,0.0,"['Glass', 'Metal']",30.0,,1975.0,2,12.4,60,Electric
walk/bicycle,36.0,0,vegan,0.0,0.0,0.0,0.0,['Plastic'],39.0,,2158.0,2,11.9,48,Electric
walk/bicycle,68.0,0,vegan,0.0,0.0,0.0,0.0,"['Paper', 'Plastic']",25.0,,1226.0,2,13.0,59,Electric
walk/bicycle,29.0,0,pescatarian,0.0,0.0,0.0,0.0,"['Plastic', 'Glass']",10.0,,1627.0,2,11.8,55,Electric
public,1297.0,0,omnivore,0.0,0.0,0.0,0.0,[],12.0,,1346.0,2,10.8,55,Electric
public,29.595621734832907,0,omnivore,7.8992418967873235,534.6993178393872,132.89056623952158,1426.0286356037095,25.132707919582664,8.516625845182723,diesel,2000.173607857288,4,11.6,38,Gas
private,46.06038393784267,3,vegetarian,4.627192818633194,397.25117103740695,23.536698778948818,3788.728715974399,30.631739947828883,9.597889986293534,diesel,2119.3201009708946,4,10.1,42,Gas
private,20.93235447542321,5,omnivore,18.03342631690016,915.115465055188,95.25863025491039,4035.716098701975,13.543334425446819,5.621392707590708,petrol,3486.273104441621,4,9.9,15,Gas
private,6972.0,0,pescatarian,0.0,0.0,0.0,0.0,"['Paper', 'Plastic']",13.0,diesel,2632.0,3,12.3,48,
private,2703.0,0,vegetarian,0.0,0.0,0.0,0.0,['Paper'],16.0,hybrid,1575.0,2,15.7,80,
public,369.0,0,pescatarian,0.0,0.0,0.0,0.0,['Metal'],34.0,,1533.0,2,12.4,61,Electric
private,32.44173545794166,0,omnivore,1.3751040682013072,894.8888665004255,150.70841560420422,923.9912508462969,59.49812677897849,8.935703451647099,petrol,2183.2212528910045,4,9.2,59,Gas
public,426.0,0,vegetarian,0.0,0.0,0.0,0.0,"['Paper', 'Plastic', 'Metal']",21.0,,819.0,2,12.5,66,Electric
public,1852.0,0,vegan,0.0,0.0,0.0,0.0,['Metal'],30.0,,1571.0,2,11.1,68,Electric
private,1262.0,0,pescatarian,0.0,0.0,0.0,0.0,"['Paper', 'Metal']",6.0,petrol,2032.0,2,11.5,59,
private,3986.0,0,vegan,0.0,0.0,0.0,0.0,"['Paper', 'Plastic']",39.0,lpg,3007.0,3,11.1,43,
public,1212.0,0,pescatarian,0.0,0.0,0.0,0.0,"['Paper', 'Plastic']",6.0,,1296.0,2,10.9,53,Electric
private,5866.0,0,vegetarian,0.0,0.0,0.0,0.0,"['Plastic', 'Glass', 'Metal']",4.0,petrol,4035.0,3,10.4,58,
private,7929.0,0,vegetarian,0.0,0.0,0.0,0.0,"['Paper', 'Plastic']",18.0,hybrid,2665.0,3,12.9,60,
private,10.289239544710144,2,vegetarian,14.686205487237519,121.96549333341343,173.63607366606206,986.5629714227115,25.999893792700924,8.285342189587677,hybrid,1503.8949744843487,3,16.1,32,Gas
public,1586.0,0,omnivore,0.0,0.0,0.0,0.0,"['Paper', 'Plastic', 'Glass']",29.0,,1327.0,2,10.3,65,Electric
public,834.0,0,pescatarian,0.0,0.0,0.0,0.0,['Plastic'],50.0,,3121.0,3,11.8,38,Electric
walk/bicycle,67.0,0,vegan,0.0,0.0,0.0,0.0,['Plastic'],44.0,,1702.0,2,12.2,55,Electric
walk/bicycle,9.0,0,vegetarian,0.0,0.0,0.0,0.0,"['Plastic', 'Metal']",8.0,,1448.0,2,11.1,48,Electric
walk/bicycle,24.0,0,vegan,0.0,0.0,0.0,0.0,"['Paper', 'Glass']",50.0,,2610.0,3,12.1,51,Electric
private,6813.0,0,vegetarian,0.0,0.0,0.0,0.0,['Plastic'],15.0,petrol,4773.0,4,9.4,44,
private,5739.0,0,vegan,0.0,0.0,0.0,0.0,"['Paper', 'Metal']",48.0,lpg,2819.0,3,10.2,61,
walk/bicycle,48.0,0,omnivore,0.0,0.0,0.0,0.0,['Glass'],12.0,,1908.0,2,12.2,70,Electric
public,38.435745701961146,1,omnivore,18.910545375130322,106.91477719604964,185.2248986069657,3586.9023641429912,42.06594149890215,0.5613468056222837,petrol,2918.6169271185213,4,9.5,47,Gas
walk/bicycle,27.0,0,pescatarian,0.0,0.0,0.0,0.0,"['Glass', 'Metal']",22.0,,1361.0,2,12.2,49,Electric
private,13.182358728528342,3,vegetarian,15.20708011497084,199.3097392362539,21.8660382925971,1511.282424396179,67.46157037965175,5.2748129937680135,petrol,987.7877765449945,2,11.0,85,Gas
private,35.93161527866517,2,vegetarian,18.466702738719587,230.80508071523542,140.29916028637234,4980.561897687921,51.702862524882974,2.1430195107892502,none,2760.6279498956064,4,10.1,49,Gas
private,7132.0,0,omnivore,0.0,0.0,0.0,0.0,"['Plastic', 'Glass']",43.0,electric,1789.0,3,21.0,50,
walk/bicycle,0.11421804009434933,1,vegetarian,2.4368571690176855,306.22953018521173,76.24396024487731,4949.646026470679,56.44498700129272,2.205275015608623,electric,2462.3134371330143,3,25.3,59,Electric
walk/bicycle,30.0,0,vegetarian,0.0,0.0,0.0,0.0,"['Paper', 'Plastic', 'Glass']",41.0,,3147.0,3,12.1,46,Electric
private,40.44433815464431,1,vegan,8.672152722186922,109.18803211566427,28.177995270124146,1836.4673841920812,84.01653573330137,0.27620856829504215,diesel,1056.8839482650953,2,11.4,100,Gas
walk/bicycle,88.0,0,vegetarian,0.0,0.0,0.0,0.0,"['Plastic', 'Glass']",8.0,,870.0,1,11.9,34,Electric
public,6.67089136869155,5,vegan,4.114223897424239,960.780905681635,86.10623910339739,1082.7139642131501,66.48151462156692,0.46961803194401686,diesel,1829.6948556908044,2,12.9,83,Electric
public,1527.0,0,vegetarian,0.0,0.0,0.0,0.0,['Paper'],30.0,,789.0,2,11.0,69,Electric
private,40.1942240876985,4,omnivore,13.119190470859447,176.74633540511206,133.90456621897468,4235.932102137341,97.69505864080168,1.3043088941161551,diesel,2951.2033314879204,4,10.3,92,Gas
public,5.807026573483237,2,omnivore,6.456890338252159,609.1318775712118,144.76480684396282,2161.671527660792,84.42433644929633,7.28341485806038,hybrid,2356.079364588677,3,17.7,78,Gas
walk/bicycle,19.0,0,omnivore,0.0,0.0,0.0,0.0,"['Plastic', 'Metal']",35.0,,1961.0,2,12.5,63,Electric
private,4482.0,0,vegetarian,0.0,0.0,0.0,0.0,[],17.0,petrol,2999.0,3,10.0,62,
walk/bicycle,0.0,0,vegetarian,0.0,0.0,0.0,0.0,"['Glass', 'Metal']",19.0,,3220.0,2,11.6,68,Electric
public,542.0,0,vegetarian,0.0,0.0,0.0,0.0,['Paper'],1.0,,1687.0,2,11.6,69,Electric
private,7643.0,0,vegan,0.0,0.0,0.0,0.0,"['Plastic', 'Glass']",46.0,electric,1837.0,3,19.4,61,
walk/bicycle,58.0,0,vegetarian,0.0,0.0,0.0,0.0,"['Paper', 'Glass', 'Metal']",20.0,,2338.0,2,11.6,71,Electric
walk/bicycle,62.0,0,vegetarian,0.0,0.0,0.0,0.0,"['Paper', 'Plastic', 'Glass', 'Metal']",6.0,,821.0,1,12.2,65,Electric
walk/bicycle,65.0,0,vegan,0.0,0.0,0.0,0.0,"['Paper', 'Plastic', 'Glass']",25.0,,1837.0,2,11.3,56,Electric
private,645.0,0,vegan,0.0,0.0,0.0,0.0,"['Paper', 'Glass']",17.0,hybrid,2124.0,2,16.6,61,
private,2148.0,0,vegetarian,0.0,0.0,0.0,0.0,"['Plastic', 'Glass', 'Metal']",12.0,lpg,2389.0,2,11.4,50,
private,6348.0,0,pescatarian,0.0,0.0,0.0,0.0,['Glass'],10.0,diesel,2747.0,3,11.6,53,
public,1376.0,0,omnivore,0.0,0.0,0.0,0.0,['Glass'],31.0,,2494.0,3,11.3,49,Electric
walk/bicycle,49.0,0,pescatarian,0.0,0.0,0.0,0.0,"['Paper', 'Plastic', 'Metal']",49.0,,1506.0,2,11.0,62,Electric
walk/bicycle,35.0,0,vegetarian,0.0,0.0,0.0,0.0,"['Plastic', 'Metal']",31.0,,1717.0,2,11.1,48,Electric
private,1485.0,0,pescatarian,0.0,0.0,0.0,0.0,"['Paper', 'Plastic', 'Metal']",31.0,petrol,2148.0,2,10.8,59,
walk/bicycle,61.0,0,vegan,0.0,0.0,0.0,0.0,['Paper'],13.0,,2905.0,2,11.1,56,Electric
public,575.0,0,vegetarian,0.0,0.0,0.0,0.0,['Paper'],45.0,,1873.0,3,11.8,48,Electric
private,28.0740153452684,1,vegetarian,17.18640179165471,513.9949720659932,49.30172089524811,3064.6629732838046,4.779117525375098,7.475119638911496,petrol,2006.6450084221344,3,9.0,20,Gas
walk/bicycle,20.0,0,vegan,0.0,0.0,0.0,0.0,"['Glass', 'Metal']",42.0,,1287.0,2,12.9,63,Electric
public,1702.0,0,vegan,0.0,0.0,0.0,0.0,['Metal'],8.0,,1576.0,2,10.8,59,Electric
public,1366.0,0,pescatarian,0.0,0.0,0.0,0.0,"['Paper', 'Plastic', 'Glass', 'Metal']",18.0,,782.0,2,11.5,62,Electric
public,29.70771647018497,3,vegetarian,9.14179899514192,341.2336536193386,31.374414323927958,791.6163035021461,98.83449388469367,7.336572903977638,petrol,901.4117313341635,3,9.4,90,Electric
private,8855.0,0,vegan,0.0,0.0,0.0,0.0,"['Plastic', 'Glass']",17.0,hybrid,2081.0,3,14.6,47,
private,7023.0,0,vegan,0.0,0.0,0.0,0.0,['Paper'],1.0,petrol,4000.0,3,9.0,48,
public,1336.0,0,vegan,0.0,0.0,0.0,0.0,['Glass'],34.0,,2076.0,2,10.6,62,Electric
public,23.823566827485216,2,omnivore,1.2296600975772254,189.87260917489056,17.950956794255735,3519.7641257639966,86.2382598597277,0.9016480932878401,none,1609.5287597296058,2,10.3,72,Electric
public,1326.0,0,vegan,0.0,0.0,0.0,0.0,[],9.0,,1739.0,2,11.9,66,Electric
public,43.18839572917307,3,omnivore,17.20076194178681,379.086970729626,46.52829791530093,4412.024941166426,5.0012107747725025,9.048589643735918,petrol,2782.753995884616,5,8.5,15,Electric
walk/bicycle,48.28860451774277,0,omnivore,6.470922571132485,141.04602373333202,149.45431435226257,1232.223647502156,6.588629856945893,0.8557547271354793,diesel,1542.080022699068,3,10.4,24,Gas
private,298.0,0,omnivore,0.0,0.0,0.0,0.0,['Metal'],19.0,electric,1009.0,2,25.9,64,
walk/bicycle,36.0,0,omnivore,0.0,0.0,0.0,0.0,['Metal'],16.0,,1548.0,2,11.4,51,Electric
private,26.130312669223667,1,omnivore,8.166399010244085,628.2907371631334,43.34422789046679,1914.5274637828416,48.66959746487861,7.092369170838505,electric,1800.1311051990474,3,22.7,40,Gas
private,43.179054921012316,1,omnivore,11.194605534290876,259.78375678088184,81.05086048617159,582.3157901049067,43.68835179575758,5.909365177699294,petrol,1424.6360814753755,3,9.3,55,Gas
private,4621.0,0,omnivore,0.0,0.0,0.0,0.0,['Glass'],46.0,electric,2029.0,3,20.5,61,
private,38.32495943322158,4,vegan,1.0740762438446083,136.94086838125241,52.91646652207693,3324.547860782694,55.483179009214425,6.622930474427041,none,1693.7003961486769,3,9.5,73,Gas
walk/bicycle,10.532383596530003,4,omnivore,5.819290613644437,637.0107483596162,184.6031978792323,2040.0901136147882,28.64539895556375,7.115973655792453,electric,2578.1489153876137,4,22.8,33,Gas
public,1059.0,0,vegetarian,0.0,0.0,0.0,0.0,"['Plastic', 'Glass']",9.0,,1579.0,2,11.4,68,Electric
walk/bicycle,43.72063522516271,2,omnivore,15.717313781800533,530.7822383666438,19.62418151245018,2964.999059469977,35.463599553682045,5.2177843685393235,hybrid,2136.0704447491453,4,14.9,43,Electric
public,193.0,0,omnivore,0.0,0.0,0.0,0.0,"['Paper', 'Plastic']",24.0,,3357.0,3,11.8,42,Electric
public,37.442309318469356,2,omnivore,10.569540329901457,646.1561040159913,162.73781082010711,941.528746098769,64.40515723528713,3.752828013663141,petrol,2181.883777414915,3,9.7,64,Gas
walk/bicycle,70.0,0,pescatarian,0.0,0.0,0.0,0.0,"['Plastic', 'Glass', 'Metal']",14.0,,1979.0,2,12.3,58,Electric
walk/bicycle,7.0,0,pescatarian,0.0,0.0,0.0,0.0,"['Plastic', 'Glass']",49.0,,1911.0,3,12.0,65,Electric
walk/bicycle,1.2783532835010714,2,omnivore,3.9323665958418785,331.0282971450325,186.219420429242,3628.3440320349077,31.428382813443456,0.48133168761328005,petrol,2721.079821178941,3,12.1,26,Gas
public,49.234793969129406,2,omnivore,0.9542175159426947,402.564667370131,175.8921648588481,816.7000244644619,8.014200131260962,1.1048409724921382,petrol,1724.5107710043437,3,8.7,18,Gas
private,4595.0,0,vegan,0.0,0.0,0.0,0.0,['Metal'],41.0,lpg,2590.0,3,10.4,67,
walk/bicycle,44.99983721665483,1,omnivore,7.662051447584779,963.8424393423396,106.6597382144757,3212.1168837672985,7.406992751202024,3.5692634201358553,diesel,2837.0074648966734,4,10.1,16,Electric
walk/bicycle,41.97745258395037,1,omnivore,3.80493492229363,338.13390581764577,99.9006561303426,4597.794043510486,91.81518448709681,6.092251093139771,hybrid,2613.8591955521597,4,12.9,92,Electric
private,1692.0,0,omnivore,0.0,0.0,0.0,0.0,"['Paper', 'Plastic', 'Glass']",25.0,electric,1131.0,2,24.9,54,
public,1212.0,0,vegetarian,0.0,0.0,0.0,0.0,[],24.0,,1304.0,2,12.0,66,Electric
private,544.0,0,pescatarian,0.0,0.0,0.0,0.0,['Glass'],50.0,petrol,3437.0,3,10.8,56,
private,1.9394953507051726,0,vegan,18.905808319233113,694.0313312223577,64.8876994806026,4037.8033393582386,50.84182504626366,7.087682423955383,diesel,2445.062096187705,3,13.6,38,Gas
public,17.00957401237116,2,omnivore,2.3649525467722454,293.34336565960103,137.1257011103084,1786.9999378146529,21.920672692008246,9.354043002500521,hybrid,1817.3917979087983,3,15.5,31,Gas
public,1681.0,0,pescatarian,0.0,0.0,0.0,0.0,"['Paper', 'Plastic']",20.0,,1355.0,2,12.0,64,Electric
walk/bicycle,67.0,0,vegetarian,0.0,0.0,0.0,0.0,"['Plastic', 'Glass']",25.0,,1096.0,2,13.3,63,Electric
walk/bicycle,13.0,0,omnivore,0.0,0.0,0.0,0.0,"['Paper', 'Plastic', 'Glass']",42.0,,1773.0,2,12.0,52,Electric
public,1567.0,0,omnivore,0.0,0.0,0.0,0.0,"['Glass', 'Metal']",10.0,,1463.0,2,11.8,70,Electric
walk/bicycle,65.0,0,vegetarian,0.0,0.0,0.0,0.0,"['Paper', 'Plastic', 'Glass', 'Metal']",33.0,,1024.0,2,11.7,40,Electric
public,939.0,0,vegan,0.0,0.0,0.0,0.0,"['Paper', 'Plastic', 'Glass', 'Metal']",6.0,,1298.0,2,12.2,53,Electric
walk/bicycle,8.90368488168346,1,omnivore,19.51242956019729,637.8847900055001,103.00402763109349,1366.6067236313274,31.12169881804948,3.4887591067470947,petrol,2190.6145028951646,3,11.5,43,Electric
public,34.783461076679245,1,omnivore,13.341290217860527,126.7625643700046,93.93154358054645,4936.087334602051,7.427408116565304,5.601033736729033,diesel,2801.1157362075005,4,10.8,16,Electric
walk/bicycle,25.0,0,vegetarian,0.0,0.0,0.0,0.0,"['Paper', 'Metal']",24.0,,2377.0,2,12.6,75,Electric
public,12.834344244376245,1,omnivore,1.6633229225973345,103.9732695484579,75.7750574976388,3682.783408629271,27.770728989381823,6.096250775750171,hybrid,1912.931364462399,3,16.9,39,Electric
public,453.0,0,omnivore,0.0,0.0,0.0,0.0,"['Paper', 'Plastic', 'Glass']",8.0,,2305.0,2,10.9,49,Electric
walk/bicycle,87.0,0,vegan,0.0,0.0,0.0,0.0,"['Paper', 'Metal']",50.0,,2546.0,3,11.9,65,Electric
public,702.0,0,vegan,0.0,0.0,0.0,0.0,['Plastic'],22.0,,2059.0,2,12.4,56,Electric
walk/bicycle,92.0,0,omnivore,0.0,0.0,0.0,0.0,"['Paper', 'Glass']",30.0,,2309.0,2,11.1,59,Electric
public,951.0,0,vegan,0.0,0.0,0.0,0.0,"['Plastic', 'Metal']",13.0,,2503.0,2,11.9,55,Electric
private,421.0,0,vegetarian,0.0,0.0,0.0,0.0,"['Paper', 'Plastic', 'Metal']",11.0,diesel,1146.0,2,13.4,46,
public,1948.0,0,pescatarian,0.0,0.0,0.0,0.0,"['Paper', 'Glass', 'Metal']",46.0,,1210.0,2,11.2,76,Electric
public,11.509257915868854,5,vegetarian,12.192269737918636,114.33839460136849,27.810204316828766,3232.5280471232486,88.23556456697335,4.019988912447698,none,1533.42146487227,2,11.0,68,Electric
walk/bicycle,44.0,0,vegan,0.0,0.0,0.0,0.0,"['Paper', 'Plastic', 'Glass']",47.0,,2342.0,3,11.7,52,Electric
walk/bicycle,32.0,0,pescatarian,0.0,0.0,0.0,0.0,"['Plastic', 'Metal']",21.0,,2603.0,2,11.6,64,Electric
